,"Emissions quantity, tonnes","Total population, thousands",Population density,GDP per capita,WMG,clusters
2221,-0.3772108625295827,1.278581384180123,-0.15049462147100112,1.2561507975892627,1.8256150242536864,1
2222,2.1550183720244664,1.278581384180123,-0.15049462147100112,1.2561507975892627,1.8256150242536864,2
2226,-0.47006117402152275,-0.46800324775533414,-0.21661240250675223,-0.3651042882264103,-1.1287628349379493,0
2227,-0.4447903497498553,-0.46800324775533414,-0.21661240250675223,-0.3651042882264103,-1.1287628349379493,0
2228,-0.39237678829750805,-0.46800324775533414,-0.21661240250675223,-0.3651042882264103,-1.1287628349379493,0
2229,-0.41697795574133834,1.345430248175722,-0.053662805861797794,1.3468463084991715,1.766402809776217,1
2230,1.0415397620953084,1.345430248175722,-0.053662805861797794,1.3468463084991715,1.766402809776217,1
2231,4.066613547237983,1.345430248175722,-0.053662805861797794,1.3468463084991715,1.766402809776217,2
2232,-0.46199974867303656,-0.4250671131671562,-0.18874449150429307,-0.5053715960522811,-1.1287628349379493,0
2233,-0.2190704399922416,-0.4250671131671562,-0.18874449150429307,-0.5053715960522811,-1.1287628349379493,0
2234,0.2847829409753332,-0.4250671131671562,-0.18874449150429307,-0.5053715960522811,-1.1287628349379493,0
2235,-0.468252166536133,0.35475200142126995,-0.13719803127408592,-0.6251013229815291,-1.1287628349379493,0
2236,-0.3941381401589413,0.35475200142126995,-0.13719803127408592,-0.6251013229815291,-1.1287628349379493,0
2237,-0.24042015952476595,0.35475200142126995,-0.13719803127408592,-0.6251013229815291,-1.1287628349379493,0
2241,-0.46470658811376736,-0.1691643790738729,-0.18988037189787443,-0.6797225487704196,-1.050852026414963,0
2242,-0.2948619443327031,-0.1691643790738729,-0.18988037189787443,-0.6797225487704196,-1.050852026414963,0
2243,0.0574084279539488,-0.1691643790738729,-0.18988037189787443,-0.6797225487704196,-1.050852026414963,0
2247,-0.47029754591634715,-0.4605287635927325,-0.07029424791967455,-0.6953078051955164,-1.1287628349379493,0
2248,-0.45140876280493786,-0.4605287635927325,-0.07029424791967455,-0.6953078051955164,-1.1287628349379493,0
2249,-0.41223202746275567,-0.4605287635927325,-0.07029424791967455,-0.6953078051955164,-1.1287628349379493,0
2250,-0.4699906436980671,-0.4756463293050621,-0.1790745221224257,-0.6967643712165534,-1.1287628349379493,0
2251,-0.44281550069309683,-0.4756463293050621,-0.1790745221224257,-0.6967643712165534,-1.1287628349379493,0
2252,-0.38645224112723253,-0.4756463293050621,-0.1790745221224257,-0.6967643712165534,-1.1287628349379493,0
2253,-0.4704462314630915,-0.4873638477103437,-0.1880698140276532,-0.3734552667470229,-1.1287628349379493,0
2254,-0.45557195811378015,-0.4873638477103437,-0.1880698140276532,-0.3734552667470229,-1.1287628349379493,0
2255,-0.42472161338928244,-0.4873638477103437,-0.1880698140276532,-0.3734552667470229,-1.1287628349379493,0
2256,-0.44145064362298186,-0.23387767616587152,-0.17249534629401367,0.21208427370988342,1.4578760080251916,3
2257,0.35630450140928976,-0.23387767616587152,-0.17249534629401367,0.21208427370988342,1.4578760080251916,3
2258,2.0109077651799274,-0.23387767616587152,-0.17249534629401367,0.21208427370988342,1.4578760080251916,2
2259,-0.4708007893053281,-0.527574324539979,-0.0011517342257329002,-0.25032688576868833,1.3269858497065747,3
2260,-0.46549957769640393,-0.527574324539979,-0.0011517342257329002,-0.25032688576868833,1.3269858497065747,3
2261,-0.4545044721371539,-0.527574324539979,-0.0011517342257329002,-0.25032688576868833,1.3269858497065747,3
2262,-0.4326820088149808,-0.05033132071431489,-0.12429230137415426,-0.5113435167385332,-0.6114350663453211,0
2263,0.6018262760333198,-0.05033132071431489,-0.12429230137415426,-0.5113435167385332,-0.6114350663453211,0
2264,2.7474730890520176,-0.05033132071431489,-0.12429230137415426,-0.5113435167385332,-0.6114350663453211,2
2271,-0.4686334115277852,-0.5085790189237431,-0.2194542443530522,-0.41588989015990313,0.24870025974844637,3
2272,-0.4048129999252035,-0.5085790189237431,-0.2194542443530522,-0.41588989015990313,0.24870025974844637,3
2273,-0.27244473882355247,-0.5085790189237431,-0.2194542443530522,-0.41588989015990313,0.24870025974844637,3
2277,-0.4542985998416617,-0.2511870079108438,-0.1660886628032376,-0.6080595005353953,0.12715939845258775,3
2278,-0.00343827271374561,-0.2511870079108438,-0.1660886628032376,-0.6080595005353953,0.12715939845258775,3
2279,0.9316794428108212,-0.2511870079108438,-0.1660886628032376,-0.6080595005353953,0.12715939845258775,3
2280,-0.4630862968992454,-0.41497936950409603,-0.176744040539472,0.0023873188812450776,1.3643830377976083,3
2281,-0.2494937903260888,-0.41497936950409603,-0.176744040539472,0.0023873188812450776,1.3643830377976083,3
2282,0.19351288997379157,-0.41497936950409603,-0.176744040539472,0.0023873188812450776,1.3643830377976083,3
2283,-0.4680424817907243,-0.217411331356531,0.025680611075954457,-0.6691867212182514,-1.1007149438696744,0
2284,-0.3882669672874971,-0.217411331356531,0.025680611075954457,-0.6691867212182514,-1.1007149438696744,0
2285,-0.22280664091043334,-0.217411331356531,0.025680611075954457,-0.6691867212182514,-1.1007149438696744,0
2286,-0.4631816081471585,-0.25644162647628177,-0.15591222655767323,0.0843919858656327,1.6510948131621974,3
2287,-0.2521625052676543,-0.25644162647628177,-0.15591222655767323,0.0843919858656327,1.6510948131621974,3
2288,0.18550674514909493,-0.25644162647628177,-0.15591222655767323,0.0843919858656327,1.6510948131621974,3
2289,-0.38369202738767044,7.044134331304547,-0.13564498856040627,-0.5288223089909782,0.4232204708399352,4
2290,1.9735457559980096,7.044134331304547,-0.13564498856040627,-0.5288223089909782,0.4232204708399352,4
2536,-0.4452630935395041,1.901408231789393,-0.18942712075536294,-0.43909784209509395,-0.5366406901632543,4
2537,0.249555903746668,1.901408231789393,-0.18942712075536294,-0.43909784209509395,-0.5366406901632543,4
2538,1.690661972192062,1.901408231789393,-0.18942712075536294,-0.43909784209509395,-0.5366406901632543,4
2539,-0.4079010843575865,0.6368997287772222,-0.16337466102277423,-0.4574505739601612,-1.1287628349379493,0
2540,-0.4693787454864653,-0.5208866281839669,-0.2197350031579277,2.610660092752345,1.5139717901617415,1
2541,-0.425682350768246,-0.5208866281839669,-0.2197350031579277,2.610660092752345,1.5139717901617415,1
2542,-0.3350527913526801,-0.5208866281839669,-0.2197350031579277,2.610660092752345,1.5139717901617415,1
2543,-0.4357319687481986,-0.2891495195787943,0.021340777262028928,1.5141086399149295,1.1213013152058915,1
2544,0.5164273979032225,-0.2891495195787943,0.021340777262028928,1.5141086399149295,1.1213013152058915,1
2545,2.491276454661725,-0.2891495195787943,0.021340777262028928,1.5141086399149295,1.1213013152058915,2
2546,-0.39093568222906266,1.147300218737736,-0.09849980349793176,0.9045843123116127,1.4796910344116279,1
2547,1.7707234204390283,1.147300218737736,-0.09849980349793176,0.9045843123116127,1.4796910344116279,2
2548,6.254164522269143,1.147300218737736,-0.09849980349793176,0.9045843123116127,1.4796910344116279,2
2549,-0.4688905612746546,-0.4519583964138095,-0.0630153159414203,-0.457207812956655,-0.14085378286648462,0
2550,-0.41201319283754734,-0.4519583964138095,-0.0630153159414203,-0.457207812956655,-0.14085378286648462,0
2551,-0.294045317560584,-0.4519583964138095,-0.0630153159414203,-0.457207812956655,-0.14085378286648462,0
2552,-0.44964741094350463,3.00366984925697,-0.01774647578624031,1.2470715360581315,1.5669511399573723,4
2553,0.12679501643465296,3.00366984925697,-0.01774647578624031,1.2470715360581315,1.5669511399573723,4
2554,1.3223793102560168,3.00366984925697,-0.01774647578624031,1.2470715360581315,1.5669511399573723,4
2555,-0.45040990092680905,-0.00402323838360985,-0.21768711540471802,-0.2600858781096368,-1.0602013234377214,0
2556,0.1054452969021286,-0.00402323838360985,-0.21768711540471802,-0.2600858781096368,-1.0602013234377214,0
2557,1.2583301516584438,-0.00402323838360985,-0.21768711540471802,-0.2600858781096368,-1.0602013234377214,0
2558,-0.4639822226296281,0.900698440500923,-0.1682698956968893,-0.6347146587203738,-0.9573590561873797,0
2559,-0.27457971077680493,0.900698440500923,-0.1682698956968893,-0.6347146587203738,-0.9573590561873797,0
2560,0.11825512862164321,0.900698440500923,-0.1682698956968893,-0.6347146587203738,-0.9573590561873797,0
2561,-0.4660735420313364,-0.07559282921874683,-0.1671743858504142,-0.6492317667300435,-1.1287628349379493,0
2562,-0.3331366540246361,-0.07559282921874683,-0.1671743858504142,-0.6492317667300435,-1.1287628349379493,0
2563,-0.05741570112185031,-0.07559282921874683,-0.1671743858504142,-0.6492317667300435,-1.1287628349379493,0
2564,-0.47093193758245644,-0.5275181254109368,-0.11725987440323077,-0.6618553389123648,-1.1287628349379493,0
2565,-0.4655209274159365,-0.5275181254109368,-0.11725987440323077,-0.6618553389123648,-1.1287628349379493,0
2566,-0.46917172945599817,-0.5275181254109368,-0.11725987440323077,-0.6618553389123648,-1.1287628349379493,0
2570,-0.4256962662104413,0.9246392694728652,0.09831945881928279,0.8171903510493879,1.884827238731156,1
2571,0.7974270689604248,0.9246392694728652,0.09831945881928279,0.8171903510493879,1.884827238731156,1
2572,3.3342754678333324,0.9246392694728652,0.09831945881928279,0.8171903510493879,1.884827238731156,2
